duration,actor_2_name,genres,actor_1_name,actor_3_name,plot_keywords,budget,success_label,director_name,movie_title
104.0,Kelsey Grammer,Action|Adventure|Fantasy|Sci-Fi|Thriller,Hugh Jackman,Daniel Cudmore,battle|mutant|outrage|walking through a wall|x men,210000000.0,1,Brett Ratner,X-Men: The Last Stand 
104.0,Tyler Labine,Adventure|Animation|Comedy|Family|Fantasy,Steve Buscemi,Sean Hayes,cheating|fraternity|monster|singing in a car|university,200000000.0,1,Dan Scanlon,Monsters University 
150.0,Kevin Dunn,Action|Adventure|Sci-Fi,Glenn Morshower,Ramon Rodriguez,autobot|decepticon|machine|sun|symbol,200000000.0,0,Michael Bay,Transformers: Revenge of the Fallen 
165.0,Sophia Myles,Action|Adventure|Sci-Fi,Bingbing Li,Kelsey Grammer,blockbuster|bumblebee the character|semi truck and trailer|texas|truck,210000000.0,0,Michael Bay,Transformers: Age of Extinction 
130.0,Mila Kunis,Adventure|Family|Fantasy,Tim Holmes,James Franco,circus|magic|magician|oz|witch,215000000.0,0,Sam Raimi,Oz the Great and Powerful 
142.0,Andrew Garfield,Action|Adventure|Fantasy|Sci-Fi,Emma Stone,B.J. Novak,costumed hero|death of girlfriend|masked vigilante|returning character killed off|teenager,200000000.0,1,Marc Webb,The Amazing Spider-Man 2 
125.0,Olivia Wilde,Action|Adventure|Sci-Fi,Jeff Bridges,James Frain,arcade|bridge|disappearance|escape|warrior,170000000.0,1,Joseph Kosinski,TRON: Legacy 
106.0,Thomas Kretschmann,Adventure|Animation|Comedy|Family|Sport,Joe Mantegna,Eddie Izzard,best friend|car race|conspiracy|gadget car|spy,200000000.0,0,John Lasseter,Cars 2 
123.0,Temuera Morrison,Action|Adventure|Sci-Fi,Ryan Reynolds,Taika Waititi,autopsy|lantern|planet|ring|test pilot,200000000.0,0,Martin Campbell,Green Lantern 
103.0,John Ratzenberger,Adventure|Animation|Comedy|Family|Fantasy,Tom Hanks,Don Rickles,college|day care|escape|teddy bear|toy,200000000.0,1,Lee Unkrich,Toy Story 3 
118.0,Bryce Dallas Howard,Action|Adventure|Sci-Fi,Christian Bale,Common,death row|future|machine|rescue|skynet,200000000.0,0,McG,Terminator Salvation 
140.0,Paul Walker,Action|Crime|Thriller,Jason Statham,Vin Diesel,car falling off a cliff|hospital|revenge|star died before release|terrorist,190000000.0,1,James Wan,Furious 7 
123.0,Brad Pitt,Action|Adventure|Horror|Sci-Fi|Thriller,Peter Capaldi,Mireille Enos,chaos|disease|infection|pandemic|zombie,190000000.0,1,Marc Forster,World War Z 
149.0,Peter Dinklage,Action|Adventure|Fantasy|Sci-Fi|Thriller,Jennifer Lawrence,Hugh Jackman,dystopia|super strength|supernatural power|time paradox|time travel,200000000.0,1,Bryan Singer,X-Men: Days of Future Past 
132.0,Bruce Greenwood,Action|Adventure|Sci-Fi,Benedict Cumberbatch,Noel Clarke,admiral|captain|manhunt|mission|space,190000000.0,1,J.J. Abrams,Star Trek Into Darkness 
114.0,Ewen Bremner,Adventure|Fantasy,Eddie Marsan,Ralph Brown,bean|giant|king|no opening credits|princess,195000000.0,0,Bryan Singer,Jack the Giant Slayer 
143.0,Elizabeth Debicki,Drama|Romance,Leonardo DiCaprio,Steve Bisley,ingratitude|mansion|party|title appears in writing|tragedy,105000000.0,1,Baz Luhrmann,The Great Gatsby 
116.0,Richard Coyle,Action|Adventure|Fantasy|Romance,Jake Gyllenhaal,Reece Ritchie,alamut|dagger|king|persia|princess,200000000.0,0,Mike Newell,Prince of Persia: The Sands of Time 
131.0,Clifton Collins Jr.,Action|Adventure|Sci-Fi,Charlie Hunnam,Larry Joe Campbell,giant monster|kaiju|pilot|portal|robot,190000000.0,1,Guillermo del Toro,Pacific Rim 
154.0,Lester Speight,Action|Adventure|Sci-Fi,Glenn Morshower,Kevin Dunn,autobot|decepticon|job interview|moon|spacecraft,195000000.0,0,Michael Bay,Transformers: Dark of the Moon 
122.0,Ray Winstone,Action|Adventure|Fantasy,Harrison Ford,Jim Broadbent,cult figure|femme fatale|indiana jones|unsubtitled foreign language|year 1957,185000000.0,0,Steven Spielberg,Indiana Jones and the Kingdom of the Crystal Skull 
93.0,Jack McGraw,Adventure|Animation|Comedy|Family|Fantasy,A.J. Buckley,Peter Sohn,apatosaurus|asteroid|dinosaur|fear|river,,1,Peter Sohn,The Good Dinosaur 
93.0,John Ratzenberger,Adventure|Animation|Comedy|Family|Fantasy,Kelly Macdonald,Julie Walters,archery|coming of age|female warrior|princess|rebellious daughter,185000000.0,1,Mark Andrews,Brave 
122.0,Melissa Roxburgh,Action|Adventure|Sci-Fi|Thriller,Sofia Boutella,Lydia Wilson,hatred|sequel|space opera|star trek|third part,185000000.0,1,Justin Lin,Star Trek Beyond 
98.0,Fred Willard,Adventure|Animation|Family|Sci-Fi,John Ratzenberger,Jeff Garlin,earth|obesity|plant|robot|soil,180000000.0,1,Andrew Stanton,WALL·E 
91.0,Dana Ivey,Action|Comedy|Crime|Thriller,Tzi Ma,Noémie Lenoir,ambassador|assassination|chinese|french|triad,140000000.0,0,Brett Ratner,Rush Hour 3 
158.0,Liam James,Action|Adventure|Sci-Fi,Oliver Platt,Tom McCarthy,ark|catastrophe|geologist|president|writer,200000000.0,0,Roland Emmerich,2012 
96.0,Colin Firth,Animation|Drama|Family|Fantasy,Robin Wright,Gary Oldman,charles dickens|christmas|christmas eve|ghost|scrooge,200000000.0,1,Robert Zemeckis,A Christmas Carol 
127.0,Mila Kunis,Action|Adventure|Sci-Fi,Channing Tatum,Eddie Redmayne,box office flop|critically bashed|planet earth|space opera|woman in bra and panties,176000000.0,0,Lana Wachowski,Jupiter Ascending 
110.0,Alexander Skarsgård,Action|Adventure|Drama|Romance,Christoph Waltz,Casper Crump,africa|capture|jungle|male objectification|tarzan,180000000.0,0,David Yates,The Legend of Tarzan 
150.0,Kiran Shah,Adventure|Family|Fantasy,Jim Broadbent,Shane Rangi,hide and seek|lion|magic|professor|snow,180000000.0,1,Andrew Adamson,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe "
144.0,Michael Fassbender,Action|Adventure|Sci-Fi,Jennifer Lawrence,Tye Sheridan,mutant|superhero|superhero team|x men|year 1983,178000000.0,1,Bryan Singer,X-Men: Apocalypse 
152.0,Heath Ledger,Action|Crime|Drama|Thriller,Christian Bale,Morgan Freeman,based on comic book|dc comics|psychopath|star died before release|urban setting,185000000.0,1,Christopher Nolan,The Dark Knight 
96.0,Delroy Lindo,Adventure|Animation|Comedy|Family,John Ratzenberger,Jess Harnell,balloon|house|promise|retirement|skeleton,175000000.0,1,Pete Docter,Up 
94.0,Rainn Wilson,Action|Adventure|Animation|Comedy|Family|Sci-Fi,Amy Poehler,Stephen Colbert,alien|alien invasion|alien space craft|giant|giantess,175000000.0,0,Rob Letterman,Monsters vs. Aliens 
126.0,Jeff Bridges,Action|Adventure|Sci-Fi,Robert Downey Jr.,Jon Favreau,afghanistan|billionaire|inventor|playboy|u.s. air force,140000000.0,1,Jon Favreau,Iron Man 
126.0,Christopher Lee,Adventure|Drama|Family|Mystery,Chloë Grace Moretz,Ray Winstone,automaton|mechanical|railway station|steampunk|train,170000000.0,1,Martin Scorsese,Hugo 
106.0,Salma Hayek,Action|Comedy|Sci-Fi|Western,Will Smith,Bai Ling,buddy movie|general|inventor|steampunk|utah,170000000.0,0,Barry Sonnenfeld,Wild Wild West 
112.0,Brendan Fraser,Action|Adventure|Fantasy|Horror|Thriller,Jet Li,Russell Wong,army|china|emperor|mummy|shangri la,145000000.0,0,Rob Cohen,The Mummy: Tomb of the Dragon Emperor 
123.0,Robin Atkin Downes,Action|Adventure|Comedy|Sci-Fi,Will Smith,Ike Barinholtz,based on comic book|critically bashed|father daughter relationship|reference to superman|super villain,175000000.0,1,David Ayer,Suicide Squad 
96.0,Morgan Freeman,Comedy|Family|Fantasy,Jimmy Bennett,Steve Carell,ark|change|congressman|depiction of god|flood,175000000.0,0,Tom Shadyac,Evan Almighty 
113.0,Lara Pulver,Action|Adventure|Sci-Fi,Tom Cruise,Noah Taylor,alien|combat|dying repeatedly|end of the world|time loop,178000000.0,1,Doug Liman,Edge of Tomorrow 
176.0,Rick Aviles,Action|Adventure|Sci-Fi|Thriller,Jeanne Tripplehorn,Zakes Mokae,future|sail|sea|smoker|water,175000000.0,0,Kevin Reynolds,Waterworld 
118.0,Dennis Quaid,Action|Adventure|Sci-Fi|Thriller,Joseph Gordon-Levitt,Leo Howard,cobra|gi joe|snake|train|warhead,175000000.0,0,Stephen Sommers,G.I. Joe: The Rise of Cobra 
95.0,Mindy Kaling,Adventure|Animation|Comedy|Drama|Family|Fantasy,Amy Poehler,Phyllis Smith,anger|joy|memory|running away|sadness,175000000.0,1,Pete Docter,Inside Out 
106.0,Bill Murray,Adventure|Drama|Family|Fantasy,Scarlett Johansson,Garry Shandling,fire|jungle|remake|tiger|wolf,175000000.0,1,Jon Favreau,The Jungle Book 
124.0,Scarlett Johansson,Action|Adventure|Sci-Fi,Robert Downey Jr.,Jon Favreau,hammer|military|monaco|revenge|tony stark,200000000.0,1,Jon Favreau,Iron Man 2 
132.0,Kristen Stewart,Action|Adventure|Drama|Fantasy,Chris Hemsworth,Sam Claflin,evil queen|fairy tale|magic|queen|snow white,170000000.0,0,Rupert Sanders,Snow White and the Huntsman 
97.0,Sharlto Copley,Action|Adventure|Family|Fantasy|Romance,Angelina Jolie Pitt,Sam Riley,curse|dark fantasy|fairy|king|kingdom,180000000.0,1,Robert Stromberg,Maleficent 
130.0,Judy Greer,Action|Adventure|Drama|Sci-Fi,Gary Oldman,Kodi Smit-McPhee,ape|dam|leader|post apocalypse|sequel,170000000.0,1,Matt Reeves,Dawn of the Planet of the Apes 
109.0,Alice Englert,Action|Adventure|Romance|Sci-Fi,Tamsin Egerton,Bipasha Basu,1770s|british india|great barrier reef|india|ring,,0,Roland Joffé,The Lovers 
128.0,Cary-Hiroyuki Tagawa,Action|Adventure|Drama|Fantasy,Keanu Reeves,Jin Akanishi,box office flop|ronin|samurai|shogun|tournament,175000000.0,0,Carl Rinsch,47 Ronin 
136.0,Chris Evans,Action|Adventure|Sci-Fi,Scarlett Johansson,Hayley Atwell,conspiracy|heroism|megalomaniac|super soldier|world domination,170000000.0,1,Anthony Russo,Captain America: The Winter Soldier 
93.0,Kathy Griffin,Adventure|Animation|Comedy|Family|Fantasy,Jon Hamm,Mary Kay Place,alternate world|fairy tale parody|female warrior|ogre|true love,165000000.0,0,Mike Mitchell,Shrek Forever After 
130.0,Chris Bauer,Action|Adventure|Family|Mystery|Sci-Fi,Judy Greer,Thomas Robinson,boy genius|futuristic city|inventor|teenage girl|time travel,190000000.0,0,Brad Bird,Tomorrowland 
102.0,Daniel Henney,Action|Adventure|Animation|Comedy|Drama|Family|Sci-Fi,Damon Wayans Jr.,Abraham Benrubi,high tech|martial arts|masked man|robot|superhero,165000000.0,1,Don Hall,Big Hero 6 
101.0,Sarah Silverman,Adventure|Animation|Comedy|Family|Sci-Fi,Jack McBrayer,Joe Lo Truglio,arcade|candy|glitch|king|medal,165000000.0,1,Rich Moore,Wreck-It Ralph 
100.0,Eddie Deezen,Adventure|Animation|Family|Fantasy,Tom Hanks,Peter Scolari,boy|christmas|christmas eve|north pole|train,165000000.0,0,Robert Zemeckis,The Polar Express 
120.0,Sela Ward,Action|Adventure|Sci-Fi,Vivica A. Fox,Judd Hirsch,alien|battle|defense|independence day|mothership,165000000.0,0,Roland Emmerich,Independence Day: Resurgence 
98.0,America Ferrera,Adventure|Animation|Family|Fantasy,Gerard Butler,Craig Ferguson,dragon|island|training|viking|village,165000000.0,1,Dean DeBlois,How to Train Your Dragon 
109.0,M.C. Gainey,Action|Sci-Fi,Nick Stahl,Carolyn Hennesy,drifter|exploding truck|future|machine|skynet,200000000.0,0,Jonathan Mostow,Terminator 3: Rise of the Machines 
121.0,Vin Diesel,Action|Adventure|Sci-Fi,Bradley Cooper,Djimon Hounsou,bounty hunter|outer space|raccoon|talking animal|tree,170000000.0,1,James Gunn,Guardians of the Galaxy 
169.0,Anne Hathaway,Adventure|Drama|Sci-Fi,Matthew McConaughey,Mackenzie Foy,black hole|father daughter relationship|saving the world|space travel|wormhole,165000000.0,1,Christopher Nolan,Interstellar 
148.0,Tom Hardy,Action|Adventure|Sci-Fi|Thriller,Leonardo DiCaprio,Joseph Gordon-Levitt,ambiguous ending|corporate espionage|dream|subconscious|thief,160000000.0,1,Christopher Nolan,Inception 
120.0,Shin'ya Tsukamoto,Action|Adventure|Drama|Horror|Sci-Fi,Mark Chinnery,Atsuko Maeda,blood|godzilla|monster|sequel,,1,Hideaki Anno,Godzilla Resurgence 
182.0,Adam Brown,Adventure|Fantasy,Aidan Turner,James Nesbitt,dragon|dwarf|hobbit|orc|wizard,180000000.0,1,Peter Jackson,The Hobbit: An Unexpected Journey 
106.0,Vin Diesel,Action|Crime|Thriller,Paul Walker,Jordana Brewster,eighteen wheeler|illegal street racing|truck|trucker|undercover cop,38000000.0,1,Rob Cohen,The Fast and the Furious 
166.0,Jason Flemyng,Drama|Fantasy|Romance,Brad Pitt,Julia Ormond,deformed baby|diary|lingerie slip|older man younger woman relationship|premature aging,150000000.0,1,David Fincher,The Curious Case of Benjamin Button 
132.0,Michael Fassbender,Action|Adventure|Sci-Fi,Jennifer Lawrence,Oliver Platt,cia|cia agent|mutant|nuclear war|professor,160000000.0,1,Matthew Vaughn,X-Men: First Class 
137.0,Philip Seymour Hoffman,Adventure|Sci-Fi,Jennifer Lawrence,Josh Hutcherson,death of sister|dystopia|execution|rebellion|revolution,160000000.0,0,Francis Lawrence,The Hunger Games: Mockingjay - Part 2 
109.0,Omar Benson Miller,Action|Adventure|Family|Fantasy,Nicolas Cage,Robert Capron,chosen one|enchanted object|love|spell|training,150000000.0,0,Jon Turteltaub,The Sorcerer's Apprentice 
98.0,Mike Vogel,Action|Adventure|Drama|Thriller,Jimmy Bennett,Andre Braugher,cruise|escape|ocean|passenger|water,160000000.0,0,Wolfgang Petersen,Poseidon 
113.0,Alan Rickman,Adventure|Family|Fantasy,Johnny Depp,Anne Hathaway,clock|dark fantasy|mad hatter|queen|sequel,170000000.0,0,James Bobin,Alice Through the Looking Glass 
93.0,Eric Idle,Adventure|Animation|Comedy|Family|Fantasy,Justin Timberlake,Rupert Everett,disney spoof|fairy tale|prince|princess|tough guy,160000000.0,0,Chris Miller,Shrek the Third 
123.0,Callum Rennie,Action|Adventure|Fantasy,Dominic Cooper,Ruth Negga,based on video game|fictional language|fictional war|orc|sword and sorcery,160000000.0,1,Duncan Jones,Warcraft 
126.0,Emilia Clarke,Action|Adventure|Sci-Fi,J.K. Simmons,Matt Smith,alternate timeline|cyborg|future|robot|time machine,155000000.0,0,Alan Taylor,Terminator Genisys 
113.0,Shane Rangi,Adventure|Family|Fantasy,Bruce Spence,Laura Brent,dragon|king|mouse|quest|warrior,155000000.0,0,Michael Apted,The Chronicles of Narnia: The Voyage of the Dawn Treader 
184.0,Jaime King,Action|Drama|History|Romance|War,Jennifer Garner,Mako,air raid|black smoke|japanese military|japanese navy|sunday,140000000.0,0,Michael Bay,Pearl Harbor 
144.0,Michael O'Neill,Action|Adventure|Sci-Fi,Zack Ward,Kevin Dunn,alien contact|autobot|decepticon|robot vs. robot|teenage hero,150000000.0,1,Michael Bay,Transformers 
206.0,Angelina Jolie Pitt,Action|Adventure|Biography|Drama|History|Romance|War,Anthony Hopkins,Brian Blessed,ancient greece|conquest|greek|greek myth|king,155000000.0,0,Oliver Stone,Alexander 
138.0,Daniel Radcliffe,Adventure|Family|Fantasy|Mystery,Robert Pattinson,Fiona Shaw,battle|magic|school|teacher|wizard,150000000.0,1,David Yates,Harry Potter and the Order of the Phoenix 
157.0,Daniel Radcliffe,Adventure|Family|Fantasy|Mystery,Robert Pattinson,Rupert Grint,fire|goblet|magic|tournament|wizard,150000000.0,1,Mike Newell,Harry Potter and the Goblet of Fire 
102.0,Charlize Theron,Action|Drama,Will Smith,Eddie Marsan,bully comeuppance|destruction|prison|superhero|tough girl,150000000.0,0,Peter Berg,Hancock 
104.0,Alice Braga,Drama|Horror|Sci-Fi,Will Smith,Willow Smith,new york city|pandemic|post apocalypse|survivalist|virus,150000000.0,1,Francis Lawrence,I Am Legend 
115.0,Christopher Lee,Adventure|Comedy|Family|Fantasy,Johnny Depp,David Kelly,chocolate|diminution|miniaturization|physical flexability|ticket,150000000.0,1,Tim Burton,Charlie and the Chocolate Factory 
111.0,John Ratzenberger,Animation|Comedy|Family|Fantasy,Janeane Garofalo,Brian Dennehy,chef|food|french|rat|restaurant,150000000.0,1,Brad Bird,Ratatouille 
128.0,Liam Neeson,Action|Adventure,Christian Bale,Morgan Freeman,armored car|gangster|gotham|mixed martial arts|social decay,150000000.0,1,Christopher Nolan,Batman Begins 
89.0,Jada Pinkett Smith,Action|Adventure|Animation|Comedy|Family,Bernie Mac,Cedric the Entertainer,africa|madagascar|new york city|sequel|zoo,150000000.0,1,Eric Darnell,Madagascar: Escape 2 Africa 
105.0,Rami Malek,Adventure|Comedy|Family|Fantasy,Robin Williams,Steve Coogan,hdtv|motorcycle|museum|security guard|tyrannosaurus rex,150000000.0,0,Shawn Levy,Night at the Museum: Battle of the Smithsonian 
119.0,Ryan Reynolds,Action|Adventure|Fantasy|Sci-Fi|Thriller,Hugh Jackman,Dominic Monaghan,army|civil war|claw fight|commando|wolverine the character,150000000.0,1,Gavin Hood,X-Men Origins: Wolverine 
129.0,Collin Chou,Action|Sci-Fi,Essie Davis,Nona Gaye,battle|epic|fight|future|machine,150000000.0,1,Lana Wachowski,The Matrix Revolutions 
102.0,Maurice LaMarche,Adventure|Animation|Comedy|Family|Fantasy|Musical,Josh Gad,Livvy Stubenrauch,magic|sister love|sister sister relationship|snow|snowman,150000000.0,1,Chris Buck,Frozen 
138.0,Daniel Bernhardt,Action|Sci-Fi,Steve Bastoni,Helmut Bakaitis,car motorcycle chase|one against many|oracle|prophecy|stylized violence,150000000.0,1,Lana Wachowski,The Matrix Reloaded 
112.0,Natalie Portman,Action|Adventure|Fantasy,Chris Hemsworth,Anthony Hopkins,arrest|portal|thor|warrior|weapon,170000000.0,1,Alan Taylor,Thor: The Dark World 
120.0,Charlize Theron,Action|Adventure|Sci-Fi|Thriller,Tom Hardy,Zoë Kravitz,australia|desert|escape|on the run|post apocalypse,150000000.0,1,George Miller,Mad Max: Fury Road 
146.0,Ayelet Zurer,Mystery|Thriller,Tom Hanks,Armin Mueller-Stahl,conclave|illuminati|murder|reference to bernini|reference to raphael,150000000.0,1,Ron Howard,Angels & Demons 
115.0,Natalie Portman,Action|Adventure|Fantasy,Chris Hemsworth,Anthony Hopkins,battle|marvel cinematic universe|scientist|thor|throne,150000000.0,1,Kenneth Branagh,Thor 
96.0,Diedrich Bader,Adventure|Animation|Comedy|Drama|Family,Chloë Grace Moretz,James Lipton,cat|dog|hamster|new york city|superpower,150000000.0,1,Byron Howard,Bolt 
88.0,Piper Mackenzie Harris,Action|Adventure|Animation|Comedy|Family|Fantasy|Sci-Fi,Kelli Garner,Niecy Nash,fbi director|guinea pig|household appliance|secret agent|talking mouse,150000000.0,0,Hoyt Yeatman,G-Force 
99.0,Edgar Ramírez,Action|Adventure|Fantasy,Liam Neeson,Lily James,ares|hades|titan|underworld|zeus,150000000.0,0,Jonathan Liebesman,Wrath of the Titans 
113.0,Chloë Grace Moretz,Comedy|Fantasy|Horror,Johnny Depp,Christopher Lee,camera shot of feet|cartoon on tv|female stockinged feet|female stockinged soles|foot closeup,100000000.0,0,Tim Burton,Dark Shadows 
131.0,Jeremy Renner,Action|Adventure|Thriller,Tom Cruise,Sean Harris,capture|computer hacker|mission|rogue agent|spy,150000000.0,1,Christopher McQuarrie,Mission: Impossible - Rogue Nation 
119.0,Simon Merrells,Drama|Fantasy|Horror|Thriller,Anthony Hopkins,Art Malik,asylum|death|full moon|transformation|werewolf,150000000.0,0,Joe Johnston,The Wolfman 
110.0,Alexander Skarsgård,Action|Adventure|Drama|Romance,Christoph Waltz,Casper Crump,africa|capture|jungle|male objectification|tarzan,180000000.0,0,David Yates,The Legend of Tarzan 
91.0,Oprah Winfrey,Adventure|Animation|Comedy|Family,Matthew Broderick,Rip Torn,bee|dream sequence|egg|scatological humor|squashed bug,150000000.0,0,Steve Hickner,Bee Movie 
90.0,Gary Oldman,Action|Adventure|Animation|Comedy|Family,Angelina Jolie Pitt,Mike Bell,china|kung fu|panda|peacock|tigress,150000000.0,1,Jennifer Yuh Nelson,Kung Fu Panda 2 
103.0,Noah Ringer,Action|Adventure|Family|Fantasy,Seychelle Gabriel,Aasif Mandvi,avatar|fire|kingdom|tribe|water,150000000.0,0,M. Night Shyamalan,The Last Airbender 
124.0,Tom Cruise,Action|Adventure|Thriller,Philip Seymour Hoffman,Eddie Marsan,arms dealer|fictional government agency|mission|rescue|vatican,150000000.0,1,J.J. Abrams,Mission: Impossible III 
131.0,Jake Weber,Action|Drama|Thriller,Channing Tatum,Matt Craven,black u.s. president|president|secret service|tour|white house,150000000.0,0,Roland Emmerich,White House Down 
