,duration,actor_2_name,genres,actor_1_name,actor_3_name,plot_keywords,budget,success_label,director_name,movie_title
3631,99.0,Aaron Yoo,Comedy|Drama|Romance,Mary-Kate Olsen,Method Man,ice cream|marijuana|new york city|summer|therapy,6000000.0,1,Jonathan Levine,The Wackness 
4826,112.0,Gary Coleman,Biography|Documentary|Music,James Cagney,Todd Bridges,hip hop|name in title|rap star|rapper|reference to tupac shakur,,1,Lauren Lazin,Tupac: Resurrection 
3003,103.0,Mark Duplass,Comedy|Drama|Romance,Dianne Wiest,Sam Shepard,dog|marriage|search|wedding|woods,,0,Lawrence Kasdan,Darling Companion 
600,103.0,Jonathan Frakes,Action|Adventure|Sci-Fi|Thriller,LeVar Burton,Michael Dorn,alien|captain|commander|conspiracy|planet,58000000.0,0,Jonathan Frakes,Star Trek: Insurrection 
1642,77.0,Christopher Lee,Animation|Drama|Family|Fantasy|Musical|Romance,Johnny Depp,Joanna Lumley,arranged marriage|bride|corpse|groom|woods,40000000.0,1,Tim Burton,Corpse Bride 
393,140.0,Michael Angarano,Drama|History|Sport,Jeff Bridges,Michael O'Neill,horse|horse racing|jockey|limp|seabiscuit,87000000.0,1,Gary Ross,Seabiscuit 
2092,170.0,Amber Rose Revah,Biography|Drama|History,Roma Downey,Darwin Shaw,bare chested male bondage|crucifixion|loincloth|reference to god|resurrection,22000000.0,0,Christopher Spencer,Son of God 
3758,92.0,Patrick Fugit,Comedy|Drama,Macaulay Culkin,Eva Amurri Martino,christian|jewish|pastor|school|virginity,5000000.0,1,Brian Dannelly,Saved! 
3306,103.0,Garry Shandling,Comedy|Drama|Romance,Billy Crudup,Dagmara Dominczyk,actress|lesbianism|manhattan new york city|urination|watching pornography,9000000.0,0,Bart Freundlich,Trust the Man 
3934,103.0,Alexandra Breckenridge,Drama|Thriller,Ray Winstone,Elena Satine,escort|f word|no opening credits|one word title|prosecutor,4500000.0,0,Mora Stephens,Zipper 
2557,110.0,Alonna Shaw,Action|Crime,Bolo Yeung,Kamel Krifa,boat|hong kong|murder|tunnel|twins,15000000.0,0,Sheldon Lettich,Double Impact 
4971,114.0,Monica Potter,Crime|Horror|Thriller,Tony Goldwyn,Martha MacIsaac,kidnapping|lake|microwave oven|psychopath|woods,15000000.0,0,Dennis Iliadis,The Last House on the Left 
2813,132.0,Mathieu Kassovitz,Biography|Crime|Drama|War,Sebastian Koch,Ulrich Mühe,jesuit|jew|pope|priest|ss,103000000.0,1,Costa-Gavras,Amen. 
954,80.0,Mark Christopher Lawrence,Animation|Comedy|Family|Fantasy,Bill Murray,Michael Monks,cat|dog|first part|lasagna|veterinarian,35000000.0,0,Peter Hewitt,Garfield 
1054,123.0,Albert Brooks,Crime|Drama|Romance|Thriller,Don Cheadle,Keith Hudson,heist|neo noir|one last job|opposites attract|u.s. marshal,48000000.0,1,Steven Soderbergh,Out of Sight 
190,147.0,Henry Rollins,Action|Comedy|Crime|Thriller,Will Smith,Jordi Mollà,cuba|dea|drugs|money|undercover,130000000.0,0,Michael Bay,Bad Boys II 
2087,84.0,Michael Papajohn,Comedy|Sci-Fi,Louis Lombardi,Colleen Haskell,camera focus on a female butt|cartoon on tv|forest|hairy buttocks|seal the animal,22000000.0,0,Luke Greenfield,The Animal 
4943,89.0,Hassan Johnson,Drama,J.D. Williams,Samantha Esteban,place name in title,125000.0,1,Sai Varadan,An American in Hollywood 
1112,177.0,Jürgen Prochnow,Action|Adventure|Sci-Fi,Virginia Madsen,José Ferrer,desert planet|dune|giant worm|space travel|spice,40000000.0,0,David Lynch,Dune 
2898,121.0,Gary Oldman,Action|Crime|Drama|Romance|Thriller,Brad Pitt,Michael Rapaport,aspiring actor|cocaine|drugs|pimp|suitcase full of money,13000000.0,1,Tony Scott,True Romance 
4838,95.0,Gloria Foster,Drama|Romance,Yaphet Kotto,Ivan Dixon,1960s|father|railroad|town|worker,160000.0,1,Michael Roemer,Nothing But a Man 
1095,95.0,Madeline Kahn,Adventure|Animation|Comedy|Family|Fantasy,Kevin Spacey,John Ratzenberger,ant|circus|grasshopper|misunderstanding|overhearing,120000000.0,1,John Lasseter,A Bug's Life 
644,113.0,Kevin McNally,Action|Crime|Romance|Thriller,Will Patton,Maury Chaykin,art thief|insurance|mask|master thief|reference to iron maiden,66000000.0,0,Jon Amiel,Entrapment 
514,91.0,Adam Sandler,Comedy,Al Pacino,Tim Meadows,advertising|advertising executive|commercial|protective male|twins,79000000.0,0,Dennis Dugan,Jack and Jill 
785,111.0,Miko Hughes,Action|Crime|Drama|Thriller,Bruce Willis,Carrie Preston,autistic child|boy|child in danger|fbi|nsa,60000000.0,0,Harold Becker,Mercury Rising 
3627,99.0,Rosario Dawson,Drama|History,Hayden Christensen,Cas Anvar,fabricated facts|journalist|stephen glass|the new republic|writer,6000000.0,1,Billy Ray,Shattered Glass 
4593,160.0,Anil Kapoor,Thriller,Emraan Hashmi,Sunil Shetty,chocolate|christmas|christmas eve|death|suspect,1500000.0,0,Vivek Agnihotri,Chocolate: Deep Dark Secrets 
2548,83.0,Jordana Brewster,Horror,Matt Bomer,Lew Temple,cannibal|car accident|leatherface|psychopath|slaughterhouse,16000000.0,0,Jonathan Liebesman,The Texas Chainsaw Massacre: The Beginning 
2681,114.0,George C. Scott,Action|Horror|Sci-Fi|Thriller,Heather Locklear,David Keith,captain|experiment|fire|psychic|secret government agency,15000000.0,0,Mark L. Lester,Firestarter 
3227,90.0,Toby Stephens,Comedy|Horror|Thriller,Danny Dyer,Laura Harris,blood splatter|eastern europe|female nudity|pine forest|team building,5000000.0,0,Christopher Smith,Severance 
2932,89.0,Alex Russell,Drama|Sci-Fi|Thriller,Michael Kelly,Ashley Hinshaw,found footage|high school|subjective camera|teen angst|troubled teen,12000000.0,1,Josh Trank,Chronicle 
1875,146.0,Bryce Dallas Howard,Drama,Emma Stone,Mike Vogel,black servant|chocolate pie|jackson mississippi|maid|writing a novel,25000000.0,1,Tate Taylor,The Help 
2543,94.0,Rachel Blanchard,Comedy,Ethan Suplee,Paulo Costanzo,blonde|college|friend|highway travel|road trip,15600000.0,0,Todd Phillips,Road Trip 
3356,95.0,Jim Henson,Adventure|Comedy|Family|Musical,Madeline Kahn,Dom DeLuise,friend|frog leg|on the road|restaurant|the muppets,,1,James Frawley,The Muppet Movie 
2431,115.0,Susan May Pratt,Drama|Music|Romance,Amanda Schull,Ethan Stiefel,ballet|dance|dancer|dancing|love,18000000.0,1,Nicholas Hytner,Center Stage 
591,124.0,John Amos,Action|Thriller,Bruce Willis,Franco Nero,airport|fuel|plane|police|terrorist,70000000.0,1,Renny Harlin,Die Hard 2 
2088,240.0,Amrish Puri,Biography|Drama|History,Candice Bergen,John Gielgud,british|india|indian|muslim|pakistan,22000000.0,1,Richard Attenborough,Gandhi 
4894,127.0,Robert J. Wilke,Adventure|Drama|Family|Fantasy|Sci-Fi,James Mason,Paul Lukas,captain|expedition|sea|submarine|whale,5000000.0,1,Richard Fleischer,"20,000 Leagues Under the Sea "
2183,72.0,Rob Paulsen,Adventure|Animation|Family|Fantasy,Roger Rees,Spencer Breslin,1940s|gang that lives together|outlaw gang|rescue|sequel,20000000.0,0,Robin Budd,Return to Never Land 
4572,167.0,Manoj Bajpayee,Drama|Romance,Karisma Kapoor,Jaya Bhaduri,mumbai riots|politician|riot|suicide|tragic event,1000000.0,0,Khalid Mohamed,Fiza 
4948,,Valentine,Romance,Diane Sorrentino,,,125000.0,0,Valentine,Romantic Schemer 
398,108.0,Joan Allen,Action|Mystery|Thriller,Matt Damon,Oksana Akinshina,assassin|car chase|cia|hidden truth|one against many,75000000.0,1,Paul Greengrass,The Bourne Supremacy 
2979,95.0,Kurtwood Smith,Action|Crime|Sci-Fi|Thriller,Christopher Lambert,Clifton Collins Jr.,escape|future|population control|prison|prisoner,8000000.0,0,Stuart Gordon,Fortress 
4717,102.0,Félix Moati,Comedy|Drama,François Cluzet,Marianne Denicourt,doctor|hospital|mayor|no opening credits|title at the end,,1,Thomas Lilti,Irreplaceable 
3372,93.0,Dabney Coleman,Comedy|Fantasy|Sci-Fi,Brian Doyle-Murray,Mary Kay Place,air traffic controller|nuclear waste|orgasm|telekinesis|voodoo,8000000.0,0,Ken Shapiro,Modern Problems 
1708,123.0,Lily Cole,Adventure|Fantasy|Mystery,Andrew Garfield,Verne Troyer,birthday|bridge|midget|rescue|sideshow,40000000.0,1,Terry Gilliam,The Imaginarium of Doctor Parnassus 
4748,89.0,Greg Speirs,Documentary|Sport,Tommy Sheppard,Mickey Hart,basketball|basketball team|grateful dead|lithuanian|olympics,500000.0,1,Marius A. Markevicius,The Other Dream Team 
2396,105.0,Nichelle Nichols,Action|Adventure|Sci-Fi,Leonard Nimoy,Walter Koenig,dying planet|planet|regaining one's memory|sacrifice|stabbed to death,17000000.0,0,Leonard Nimoy,Star Trek III: The Search for Spock 
3811,87.0,Esai Morales,Crime|Drama|Thriller,Teri Polo,Nicholas Gonzalez,abduction|based on true story|mexico,5000000.0,0,Eric Bross,We Have Your Husband 
2097,83.0,Eddie Griffin,Comedy,Carlos Ponce,Charles Keating,dolphin|gigolo|pimp|serial killer|villain arrested,22000000.0,0,Mike Bigelow,Deuce Bigalow: European Gigolo 
67,96.0,Delroy Lindo,Adventure|Animation|Comedy|Family,John Ratzenberger,Jess Harnell,balloon|house|promise|retirement|skeleton,175000000.0,1,Pete Docter,Up 
2737,105.0,Chen Chang,Action|Drama,Qi Shu,Satoshi Tsumabuki,black magic|china|love|refusal to kill|wuxia,15000000.0,0,Hsiao-Hsien Hou,The Assassin 
952,128.0,Gary Cole,Horror|Mystery,Naomi Watts,Sissy Spacek,cartoon on tv|foreign language adaptation|second part|videotape|writer,,0,Hideo Nakata,The Ring Two 
2659,124.0,Sanaa Lathan,Drama|Romance|Sport,Alfre Woodard,Omar Epps,basketball movie|female basketball player|high school|nba|title directed by female,15000000.0,1,Gina Prince-Bythewood,Love & Basketball 
2809,97.0,Kristin Scott Thomas,Comedy|Romance,Colin Firth,Kris Marshall,estate|female frontal nudity|female nudity|no panties|unhappy marriage,,1,Stephan Elliott,Easy Virtue 
4739,111.0,William Katt,Drama,Sasha Alexander,Jon Gries,conjoined twins|independent film|low budget film|separation|twin,500000.0,1,Michael Polish,Twin Falls Idaho 
1039,127.0,Julian Glover,Action|Adventure|Fantasy,Harrison Ford,Alison Doody,castle|diary|holy grail|map|nazi,48000000.0,1,Steven Spielberg,Indiana Jones and the Last Crusade 
4909,84.0,Jennifer Lafleur,Comedy|Drama|Horror|Romance,Greta Gerwig,Elise Muller,actor|cabin|california|paper bag|vomiting,,0,Jay Duplass,Baghead 
4610,76.0,Kevin McCarthy,Drama|Romance,Ilene Graff,Laura Breckenridge,older woman younger woman relationship|sex with student|teacher|teacher student relationship|title directed by female,1000000.0,1,Katherine Brooks,Loving Annabelle 
857,44.0,Don S. Davis,Action|Adventure|Drama|Sci-Fi,Christopher Judge,Gary Jones,2000s|21st century|alternate history|message from outer space|military,1400000.0,1,,Stargate SG-1             
2595,115.0,Marie-Josée Croze,Drama|War,David Alpay,Charles Aznavour,armenian|armenian genocide|customs agent|genocide|prayer,,0,Atom Egoyan,Ararat 
4989,,Chelse Swain,Comedy|Drama,Corbin Bernsen,Amanda MacDonald,coming of age|male nudity|road trip|skinny dipping|teenager,,0,Daniel Mellitz,The Naked Ape 
4834,88.0,Edie Falco,Drama,Embeth Davidtz,Kathryn Erbe,number in title,300000.0,0,Eric Mendelsohn,3 Backyards 
3817,88.0,Haley Joel Osment,Comedy|Fantasy|Horror|Thriller,Johnny Depp,Natasha Lyonne,part of trilogy|second part,5000000.0,0,Kevin Smith,Yoga Hosers 
1046,137.0,Fares Fares,Crime|Drama|Thriller,Tom Hardy,Michael Nardone,child murderer|murder|sex|soviet union|woman slaps a man,50000000.0,0,Daniel Espinosa,Child 44 
10,183.0,Lauren Cohan,Action|Adventure|Sci-Fi,Henry Cavill,Alan D. Purwin,based on comic book|batman|sequel to a reboot|superhero|superman,250000000.0,1,Zack Snyder,Batman v Superman: Dawn of Justice 
4797,96.0,Sue Corcoran,Comedy|Fantasy|Horror|Musical,Tony Doupe,David Frederick White,conspiracy|feminist|hippie|motorcycle|slapstick comedy,100000.0,0,Sue Corcoran,Gory Gory Hallelujah 
4541,90.0,Gary Cole,Drama|Horror|Mystery|Thriller,Julian Morris,Lindy Booth,e mail|game|school|serial killer|student,1000000.0,0,Jeff Wadlow,Cry_Wolf 
2251,108.0,Sarah Silverman,Comedy,Jon Heder,Jacinda Barrett,paintball|paintball gun|pepper spray|tennis|what happened to epilogue,20000000.0,0,Todd Phillips,School for Scoundrels 
562,106.0,Bruce Willis,Drama|Mystery|Sci-Fi|Thriller,Robin Wright,Michael Kelly,child with gun|comic book|invulnerability|superhero|train crash,75000000.0,1,M. Night Shyamalan,Unbreakable 
1887,97.0,Jim Broadbent,Comedy|Drama|Romance,Colin Firth,Shirley Henderson,american actress playing british character|book publishing|calorie counting|employer employee relationship|rabbit costume,26000000.0,1,Sharon Maguire,Bridget Jones's Diary 
4198,34.0,Elden Henson,Comedy|Family|Musical|Romance|Short,William Hurt,Michael Bower,student film|wonder years,34000.0,1,Randall Miller,Marilyn Hotchkiss' Ballroom Dancing and Charm School 
4122,88.0,Betsy Russell,Horror|Thriller,Matt Cohen,Noah Segan,blood splatter|chain|murder|mysterious killer|warning,5000000.0,0,Deon Taylor,Chain Letter 
4191,99.0,Michel Côté,Action|Drama|Horror|Thriller,Patrick Huard,Jean Pierre Bergeron,canadian gothic|hospital|murder|paranormal|supernatural,3200000.0,0,Éric Tessier,Sur le seuil 
3265,98.0,Heather O'Rourke,Horror|Thriller,Tom Skerritt,Zelda Rubinstein,aunt niece relationship|brother sister relationship|building|father daughter relationship|mirror,10500000.0,0,Gary Sherman,Poltergeist III 
1565,110.0,Nancy Travis,Comedy|Family|Fantasy,Haley Joel Osment,Andrea Martin,box office flop|circus|imaginary friend|magician|one word title,30000000.0,0,Norman Jewison,Bogus 
4626,94.0,Pierre Dulat,Drama|Thriller,Magi Avila,Summer Napoles,dominance submissiveness|female nudity|human branding|human pet|power exchange,1000000.0,0,D. Stevens,The Pet 
4114,87.0,Adam Scott,Comedy|Romance,Kirsten Dunst,Andrew Rannells,bachelorette party|drug use|high school|overdose|wedding dress,3000000.0,0,Leslye Headland,Bachelorette 
2599,95.0,Gregg Henry,Comedy|Horror|Sci-Fi,Dustin Milligan,Tania Saulnier,alien|b movie|sex|slug|small town,15500000.0,0,James Gunn,Slither 
4737,86.0,Ari Gold,Drama|Music,Rachel True,Denny Kirkwood,dj|ecstasy the drug|rave|raver|warehouse,500000.0,0,Greg Harrison,Groove 
1012,100.0,Vanessa Ferlito,Action|Comedy,Christina Milian,Kelli Garner,cheerleader|cheerleading movie|neo noir|neo western|texas ranger,40000000.0,0,Stephen Herek,Man of the House 
3939,99.0,Dan Futterman,Comedy|Crime|Romance,Peter McNamara,Ralph Ineson,con artist|money|orphan|scam|secretary,3000000.0,0,Stefan Schwartz,Shooting Fish 
3354,122.0,Bergüzar Korel,Action|Adventure,Necati Sasmaz,Ghassan Massoud,abu ghraib|bomb|christian|explosion|iraq,8300000.0,0,Serdar Akar,Valley of the Wolves: Iraq 
3298,76.0,Freddy Rodríguez,Comedy|Romance,Carlos Ponce,Maria Conchita Alonso,beauty pageant|bilingual|dating|latino|three women,,0,Linda Mendoza,Chasing Papi 
1005,118.0,Brían F. O'Byrne,Action|Crime|Drama|Mystery|Thriller,Naomi Watts,Armin Mueller-Stahl,bank|chase|district attorney|interpol|murder,50000000.0,0,Tom Tykwer,The International 
1768,90.0,Alexander Skarsgård,Comedy,Milla Jovovich,Will Ferrell,fashion|malaysia|male model|reporter|rival,28000000.0,0,Ben Stiller,Zoolander 
1657,102.0,Jim Belushi,Comedy|Horror|Musical|Sci-Fi,Bill Murray,Tisha Campbell-Martin,eclipse|florist|nerd|plant|shop,25000000.0,1,Frank Oz,Little Shop of Horrors 
2113,104.0,Udo Kier,Action|Adventure|Fantasy|Sci-Fi|Thriller,Michael Biehn,Franco Nero,armageddon|battle|end times|reference to satan|sequel,22000000.0,0,Brian Trenchard-Smith,Megiddo: The Omega Code 2 
609,116.0,Bruce Willis,Action|Thriller,Denzel Washington,Mark Valley,abduction|martial law|military|new york city|terrorist,70000000.0,0,Edward Zwick,The Siege 
2954,118.0,Erika Christensen,Comedy|Drama,Alicia Witt,Joan Allen,anger|baseball|drinking|radio|secretary,9000000.0,1,Mike Binder,The Upside of Anger 
3108,124.0,Penelope Wilton,Comedy|Drama,Tom Wilkinson,Celia Imrie,hotel|india|marigold|retiree|retirement,10000000.0,1,John Madden,The Best Exotic Marigold Hotel 
1111,88.0,Meryl Streep,Adventure|Animation|Comedy|Family|Fantasy,Nicolas Cage,Julia Roberts,ant|miniaturization|punishment|shrinking|sudden change in size,50000000.0,0,John A. Davis,The Ant Bully 
2792,117.0,Joan Plowright,Comedy|Drama|War,Lily Tomlin,Paolo Seganti,ambassador|american|art|english|italy,12000000.0,1,Franco Zeffirelli,Tea with Mussolini 
756,93.0,Matthew Broderick,Adventure|Animation|Comedy|Family|Fantasy,Emma Watson,Frank Langella,book|darkness|dungeon|princess|rat,60000000.0,0,Sam Fell,The Tale of Despereaux 
5017,90.0,Suzi Lorraine,Comedy|Romance,Kristen Seavey,Travis Legge,anti romantic comedy|dating|divorce|sex comedy|sex scene,22000.0,0,Travis Legge,Dry Spell 
114,138.0,Daniel Radcliffe,Adventure|Family|Fantasy|Mystery,Robert Pattinson,Fiona Shaw,battle|magic|school|teacher|wizard,150000000.0,1,David Yates,Harry Potter and the Order of the Phoenix 
233,121.0,Domenick Lombardozzi,Comedy|Drama|Romance,Shelley Conn,Teyonah Parris,embarrassment|falling in love|love|love triangle|revelation,120000000.0,0,James L. Brooks,How Do You Know 
3173,87.0,Stephen Root,Comedy,Kurtwood Smith,Alia Shawkat,award|cedar rapids iowa|convention|hotel|insurance,,0,Miguel Arteta,Cedar Rapids 
4050,94.0,Shirley Henderson,Drama,Kelly Macdonald,Ewen Bremner,drug culture|drugs|filthy toilet|heroin addict|heroin withdrawal,3500000.0,1,Danny Boyle,Trainspotting 
1910,97.0,Paul Sorvino,Action|Comedy|Crime|Thriller,Heather Locklear,Faizon Love,blood splatter|fistfight|murder|police|prison bus,25000000.0,0,Brett Ratner,Money Talks 
642,114.0,Stephanie Szostak,Comedy,Steve Carell,Bruce Greenwood,dinner|diorama|idiot|irs|mouse,,0,Jay Roach,Dinner for Schmucks 
2335,101.0,Costas Mandylor,Drama|History|Sport,Gerard Butler,Jimmy Jean-Louis,1950s|brazil|soccer|soccer movie|world cup,20000000.0,0,David Anspaugh,The Game of Their Lives 
2661,99.0,Katy Mixon,Comedy|Romance,Bradley Cooper,Beth Grant,blind date|crossword puzzle|eccentric|fall|mine shaft,15000000.0,0,Phil Traill,All About Steve 
4314,87.0,Michael McLafferty,Drama|Horror|Mystery|Sci-Fi|Thriller,Jordi Vilasuso,Kaiwi Lyman-Mersereau,alien abduction|debate|lesbian|pregnant|spaceship,,0,Aaron Hann,Circle 
486,90.0,Jon Lovitz,Comedy|Fantasy,Adam Sandler,Michael McKean,angel|devil|flask|hell|the devil,80000000.0,0,Steven Brill,Little Nicky 
713,100.0,Tichina Arnold,Action|Adventure|Comedy,Jill Hennessy,Drew Sidora,biker gang|friend|motorcycle|new mexico|road trip,,0,Walt Becker,Wild Hogs 
2084,127.0,Jay Hernandez,Drama|Family|Sport,Dennis Quaid,Angus T. Jones,baseball|coach|high school|pitching|texas,20000000.0,1,John Lee Hancock,The Rookie 
1093,107.0,Tyra Banks,Comedy|Drama|Music|Romance,Adam Garcia,Izabella Miko,girl in panties|lift skirt|sexual attraction|short shorts|songwriter,45000000.0,0,David McNally,Coyote Ugly 
4483,123.0,Elvis Nolasco,Comedy|Romance|Thriller,Rami Malek,Felicia Pearson,horror movie remake|remake|undead|undead sex|undead sexuality,1420000.0,0,Spike Lee,Da Sweet Blood of Jesus 
2277,101.0,Tzi Ma,Drama|Mystery|Romance|Thriller|War,Brendan Fraser,Holmes Osborne,american|french|saigon|vietnam|vietnamese,30000000.0,1,Phillip Noyce,The Quiet American 
2357,97.0,John Michael Higgins,Comedy,Justin Timberlake,Phyllis Smith,boob job|breast enlargement|breast surgery|cheating on a test|ejaculation,20000000.0,0,Jake Kasdan,Bad Teacher 
561,113.0,Tony Curran,Action|Adventure|Drama|Thriller,Dennis Quaid,Miranda Otto,captain|desert|rescue|stranded|survivor,45000000.0,0,John Moore,Flight of the Phoenix 
1730,103.0,Frank Langella,Biography|Drama|Romance,Paz Vega,Derek Jacobi,1960s|grace kelly|hollywood star|monaco|prince,30000000.0,0,Olivier Dahan,Grace of Monaco 
4745,90.0,Anna Kendrick,Comedy|Drama|Romance,Olivia Wilde,Ti West,brewery|co worker|male female friendship|u haul truck|woman wearing a string bikini,,0,Joe Swanberg,Drinking Buddies 
3218,85.0,Karen Mok,Action|Comedy|Sport,Wei Zhao,Kwok-Kwan Chan,cult film|kung fu|martial arts|shaolin|soccer,10000000.0,1,Stephen Chow,Shaolin Soccer 
3428,90.0,Ben Miles,Comedy|Drama|Romance,Celia Imrie,Darren Boyd,florist|friend|friendship|lesbian|love,7900000.0,1,Ol Parker,Imagine Me & You 
652,136.0,Michael O'Neill,Drama|Horror|Sci-Fi|Thriller,Morgan Freeman,Reece Thompson,alien|friend|maine|military|woods,68000000.0,0,Lawrence Kasdan,Dreamcatcher 
1901,101.0,Dylan Baker,Drama|Horror|Mystery|Thriller,Robert De Niro,Robert John Burke,bathtub|psychologist|pushed out a window|smothered with a pillow|telescope,30000000.0,0,John Polson,Hide and Seek 
3953,106.0,Clemens Schick,Drama,Wagner Moura,Jesuíta Barbosa,gay|male frontal nudity|male nudity|male rear nudity|nudity,4000000.0,0,Karim Aïnouz,Futuro Beach 
2055,101.0,Philip Seymour Hoffman,Drama,Ryan Gosling,Jennifer Ehle,governor|intern|manager|ohio|politics,12500000.0,1,George Clooney,The Ides of March 
2407,180.0,F. Murray Abraham,Biography|Drama|History|Music,Jeffrey Jones,Tom Hulce,1800s|classical composer|composer|first person narration|opera,18000000.0,1,Milos Forman,Amadeus 
724,111.0,Charlize Theron,Action|Crime|Thriller,Jason Statham,Jimmy Shubert,gold|heist|revenge|traffic jam|venice italy,60000000.0,1,F. Gary Gray,The Italian Job 
4400,99.0,Gage Golightly,Horror,Dustin Ingram,Samuel Davis,female rear nudity|flesh eating virus|horror movie remake|remake|topless female nudity,,0,Travis Zariwny,Cabin Fever 
4274,105.0,George W. Bush,Crime|Documentary,Matt Damon,Barney Frank,florida|iceland|interview|new york city new york|recession,,1,Charles Ferguson,Inside Job 
2784,95.0,Roger Guenveur Smith,Action|Comedy|Crime|Thriller,Mike Epps,Gino Salvano,black comedy|bounty hunter|diamond|machismo|money,14000000.0,0,Kevin Bray,All About the Benjamins 
